municipio,br,km,tipo_acidente,causa_acidente,tracado_via,tipo_pista,fase_dia,condicao_metereologica,veiculos,pessoas,ilesos,feridos,feridos_graves,feridos_leves,mortos,ignorados
Capao Alto,116,291.3,Colisão Transversal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Nublado,2,3,0,2,1,1,1,0
Capao Alto,116,298,Saída De Pista,Ultrapassagem Indevida,Curva,Simples,Pleno Dia,Sol,2,6,1,4,1,3,1,0
Capao Alto,116,298.5,Colisão Frontal,Outras,Curva,Simples,Pleno Dia,Ceu Claro,3,4,1,2,0,2,1,0
Capao Alto,116,302,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Nublado,1,2,1,0,0,0,1,0
Capao Alto,116,305.1,Capotamento,Velocidade Incompatível,Curva,Duplicada,Pleno Dia,Ceu Claro,1,2,0,1,1,0,1,0
Capao Alto,116,305.2,Capotamento,Velocidade Incompatível,Curva,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Capao Alto,116,305.2,Colisão Lateral,Velocidade Incompatível,Curva,Simples,Amanhecer,Nublado,2,2,0,1,0,1,1,0
Capao Alto,116,305.3,Colisão Com Objeto Fixo,Velocidade Incompatível,Curva,Simples,Plena Noite,Nublado,1,5,0,4,1,3,1,0
Capao Alto,116,305.4,Colisão Com Objeto Fixo,Falta De Atenção,Curva,Simples,Pleno Dia,Ceu Claro,1,1,0,0,0,0,1,0
Capao Alto,116,305.4,Tombamento,Velocidade Incompatível,Curva,Simples,Pleno Dia,Nublado,1,2,0,1,1,0,1,0
Capao Alto,116,305.5,Tombamento,Velocidade Incompatível,Curva,Simples,Plena Noite,Ignorada,1,1,0,0,0,0,1,0
Capao Alto,116,306.4,Queda De Motocicleta / Bicicleta / Veículo,Velocidade Incompatível,Curva,Simples,Anoitecer,Ceu Claro,2,2,1,0,0,0,1,0
Capao Alto,116,306.8,Colisão Com Objeto Fixo,Defeito Mecânico Em Veículo,Reta,Simples,Plena Noite,Ceu Claro,3,3,2,0,0,0,1,0
Capao Alto,116,308.4,Colisão Transversal,Velocidade Incompatível,Reta,Simples,Pleno Dia,Nublado,2,2,0,1,0,1,1,0
Capao Alto,116,308.5,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Nublado,2,3,1,1,1,0,1,0
Capao Alto,116,308.5,Colisão Lateral,Velocidade Incompatível,Curva,Simples,Plena Noite,Ceu Claro,2,3,1,1,0,1,1,0
Capao Alto,116,2599,Saída De Pista,Outras,Reta,Simples,Plena Noite,Chuva,1,1,0,0,0,0,1,0
Capao Alto,116,2677,Colisão Transversal,Desobediência Às Normas De Trânsito Pelo Condutor,Interseção De Vias,Simples,Plena Noite,Nublado,2,2,1,0,0,0,1,0
Capao Alto,116,2965,Colisão Com Objeto Fixo,Velocidade Incompatível,Curva,Simples,Plena Noite,Chuva,1,1,0,0,0,0,1,0
Capao Alto,116,3054,Tombamento,Falta De Atenção À Condução,Não Informado,Simples,Amanhecer,Nublado,1,1,0,0,0,0,1,0
Capao Alto,282,276.6,Saída De Pista,Velocidade Incompatível,Curva,Simples,Pleno Dia,Ceu Claro,1,1,0,0,0,0,1,0
Capao Bonito Do Sul,285,183.4,Capotamento,Velocidade Incompatível,Curva,Simples,Pleno Dia,Ceu Claro,1,5,0,4,0,4,1,0
Capao Bonito Do Sul,285,185.4,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,2,0,1,0,1,1,0
Capao Bonito Do Sul,470,59.9,Colisão Transversal,Falta De Atenção,Curva,Simples,Pleno Dia,Sol,2,2,1,0,0,0,1,0
Capao Do Leao,116,528.7,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Nublado,1,2,0,0,0,0,1,1
Capao Do Leao,116,529.5,Colisão Lateral,Ultrapassagem Indevida,Cruzamento,Simples,Pleno Dia,Ceu Claro,2,4,3,0,0,0,1,0
Capao Do Leao,116,529.5,Colisão Transversal,Desobediência À Sinalização,Reta,Simples,Anoitecer,Chuva,2,4,2,1,1,0,1,0
Capao Do Leao,116,529.7,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Chuva,1,3,2,0,0,0,1,0
Capao Do Leao,116,530.1,Colisão Transversal,Falta De Atenção,Cruzamento,Simples,Anoitecer,Chuva,2,3,1,1,1,0,1,0
Capao Do Leao,116,530.8,Colisão Com Bicicleta,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,3,2,0,0,0,1,0
Capao Do Leao,116,531.9,Colisão Com Bicicleta,Outras,Reta,Simples,Plena Noite,Nublado,2,2,1,0,0,0,1,0
Capao Do Leao,116,533,Colisão Traseira,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,3,5,4,0,0,0,1,0
Capao Do Leao,116,534,Colisão Traseira,Outras,Reta,Simples,Plena Noite,Nublado,2,3,0,2,0,2,1,0
Capao Do Leao,116,534.5,Colisão Traseira,Velocidade Incompatível,Reta,Simples,Pleno Dia,Sol,3,8,1,6,5,1,1,0
Capao Do Leao,116,544,Saída De Pista,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Capao Do Leao,116,551,Colisão Frontal,Dormindo,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Capao Do Leao,116,5296,Colisão Lateral,Mal Súbito,Interseção De Vias,Simples,Pleno Dia,Sol,2,3,1,0,0,0,1,1
Capao Do Leao,116,5324,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Sol,2,5,1,3,3,0,1,0
Capao Do Leao,116,5422,Atropelamento De Pedestre,Falta De Atenção Do Pedestre,Reta,Simples,Plena Noite,Céu Claro,1,2,1,0,0,0,1,0
Capao Do Leao,116,5551,Colisão Frontal,Condutor Dormindo,Reta,Simples,Amanhecer,Nevoeiro/Neblina,2,3,1,0,0,0,1,1
Capao Do Leao,293,11.3,Colisão Traseira,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Capao Do Leao,293,11.3,Queda De Motocicleta / Bicicleta / Veículo,Falta De Atenção,Cruzamento,Simples,Pleno Dia,Nevoeiro/Neblina,1,1,0,0,0,0,1,0
Capao Do Leao,293,12,Colisão Frontal,Falta De Atenção À Condução,Reta,Simples,Plena Noite,Céu Claro,2,2,1,0,0,0,1,0
Capao Do Leao,293,12.4,Atropelamento De Pessoa,Ingestão De Álcool,Reta,Simples,Plena Noite,Ceu Claro,1,2,1,0,0,0,1,0
Capao Do Leao,293,13,Colisão Frontal,Ingestão De Álcool,Reta,Simples,Plena Noite,Garoa/Chuvisco,2,4,1,2,0,2,1,0
Capao Do Leao,293,13.4,Colisão Frontal,Falta De Atenção,Reta,Simples,Plena Noite,Ignorada,2,6,4,1,0,1,1,0
Capao Do Leao,293,14,Colisão Transversal,Falta De Atenção À Condução,Reta,Simples,Plena Noite,Céu Claro,2,2,1,0,0,0,1,0
Capao Do Leao,293,14,Colisão Transversal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,2,0,1,0,1,1,0
Capao Do Leao,293,14.4,Atropelamento De Animal,Animais Na Pista,Reta,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Capao Do Leao,293,14.5,Colisão Com Bicicleta,Outras,Reta,Simples,Plena Noite,Chuva,2,3,2,0,0,0,1,0
Capao Do Leao,293,14.9,Atropelamento De Pessoa,Outras,Reta,Simples,Amanhecer,Sol,1,2,1,0,0,0,1,0
Capao Do Leao,293,14.9,Colisão Transversal,Desobediência À Sinalização,Reta,Simples,Plena Noite,Nublado,3,3,2,0,0,0,1,0
Capao Do Leao,293,15.5,Colisão Transversal,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Capao Do Leao,293,15.6,Colisão Transversal,Desobediência À Sinalização,Cruzamento,Simples,Plena Noite,Ceu Claro,3,3,2,0,0,0,1,0
Capao Do Leao,293,15.7,Colisão Transversal,Desobediência À Sinalização,Reta,Simples,Anoitecer,Ceu Claro,2,2,1,0,0,0,1,0
Capao Do Leao,293,17,Colisão Frontal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,4,3,0,0,0,1,0
Capao Do Leao,293,22.3,Colisão Transversal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,3,3,2,0,0,0,1,0
Capao Do Leao,293,31.7,Colisão Traseira,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,2,0,0,0,0,1,1
Capao Do Leao,293,32.2,Saída De Pista,Falta De Atenção,Curva,Simples,Plena Noite,Ceu Claro,1,3,0,2,2,0,1,0
Capao Do Leao,293,38.1,Saída De Pista,Dormindo,Reta,Simples,Plena Noite,Nevoeiro/Neblina,1,1,0,0,0,0,1,0
Capao Do Leao,293,125,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Chuva,1,2,0,0,0,0,1,1
Capao Do Leao,293,143,Atropelamento De Pedestre,Falta De Atenção Do Pedestre,Reta,Simples,Plena Noite,Céu Claro,2,4,3,0,0,0,1,0
Capao Do Leao,293,145,Atropelamento De Pedestre,Falta De Atenção Do Pedestre,Reta,Simples,Pleno Dia,Céu Claro,1,2,1,0,0,0,1,0
Capao Do Leao,293,145,Colisão Transversal,Não Guardar Distância De Segurança,Reta,Simples,Pleno Dia,Chuva,2,5,0,4,1,3,1,0
Capao Do Leao,293,151,Colisão Transversal,Desobediência À Sinalização,Cruzamento,Simples,Pleno Dia,Ceu Claro,2,3,2,0,0,0,1,0
Capao Do Leao,293,157,Colisão Transversal,Desobediência Às Normas De Trânsito Pelo Condutor,Interseção De Vias,Simples,Pleno Dia,Céu Claro,2,3,1,0,0,0,1,1
Capao Do Leao,293,209,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Céu Claro,3,7,3,2,1,1,1,1
Capao Do Leao,293,283,Saída De Leito Carroçável,Falta De Atenção À Condução,Curva,Simples,Pleno Dia,Céu Claro,1,2,0,1,0,1,1,0
Capela,101,33.2,Colisão Frontal,Defeito Mecânico Em Veículo,Curva,Simples,Pleno Dia,Nublado,2,2,1,0,0,0,1,0
Capela,101,33.9,Atropelamento De Pessoa,Falta De Atenção,Reta,Simples,Pleno Dia,Sol,1,2,1,0,0,0,1,0
Capela,101,34.8,Colisão Transversal,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Capela,101,35.7,Colisão Com Bicicleta,Outras,Reta,Simples,Pleno Dia,Sol,1,1,0,0,0,0,1,0
Capela,101,35.7,Colisão Lateral,Outras,Curva,Simples,Plena Noite,Ceu Claro,2,2,0,0,0,0,1,1
Capela,101,36,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,3,3,2,0,0,0,1,0
Capela,101,38.2,Colisão Frontal,Outras,Curva,Simples,Pleno Dia,Chuva,2,3,1,1,1,0,1,0
Capela,101,39.4,Saída De Pista,Ingestão De Álcool,Reta,Simples,Pleno Dia,Ceu Claro,1,5,0,4,4,0,1,0
Capela,101,39.7,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Sol,2,11,0,10,3,7,1,0
Capela,101,40,Atropelamento De Pessoa,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,0,0,0,1,1
Capela,101,40,Colisão Transversal,Defeito Mecânico Em Veículo,Reta,Simples,Pleno Dia,Ceu Claro,3,4,2,1,1,0,1,0
Capela,101,40.4,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Ceu Claro,2,3,1,1,1,0,1,0
Capela,101,41.1,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Chuva,2,2,1,0,0,0,1,0
Capela,101,41.7,Colisão Lateral,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,4,0,1,0,1,1,2
Capela,101,42.4,Colisão Transversal,Defeito Mecânico Em Veículo,Reta,Simples,Pleno Dia,Ceu Claro,3,4,2,1,1,0,1,0
Capela,101,42.4,Colisão Traseira,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Capela,101,43,Colisão Frontal,Desobediência À Sinalização,Reta,Simples,Pleno Dia,Nublado,2,5,0,4,1,3,1,0
Capela,101,43,Colisão Frontal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,4,1,2,1,1,1,0
Capela,101,48.7,Colisão Transversal,Outras,Curva,Duplicada,Pleno Dia,Ceu Claro,2,7,5,1,0,1,1,0
Capela,101,339,Atropelamento De Pessoa,Falta De Atenção,Reta,Simples,Pleno Dia,Sol,1,2,1,0,0,0,1,0
Capela,101,351,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Ceu Claro,2,3,1,1,1,0,1,0
Capela,101,372,Colisão Frontal,Condutor Dormindo,Não Informado,Simples,Amanhecer,Sol,2,4,1,0,0,0,1,2
Capim Grosso,324,357,Atropelamento De Pedestre,Falta De Atenção Do Pedestre,Desvio Temporário,Simples,Plena Noite,Céu Claro,2,4,3,0,0,0,1,0
Capim Grosso,324,357,Colisão Lateral,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Capim Grosso,324,357,Colisão Transversal,Ingestão De Álcool,Reta,Simples,Plena Noite,Nublado,2,3,2,0,0,0,1,0
Capim Grosso,324,357.5,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,0,0,0,1,1
Capim Grosso,324,359,Colisão Traseira,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Capim Grosso,324,360,Atropelamento De Pessoa,Outras,Reta,Simples,Amanhecer,Nublado,1,2,0,0,0,0,1,1
Capim Grosso,324,361,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Nublado,1,2,0,0,0,0,1,1
Capim Grosso,324,366,Colisão Lateral,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Capim Grosso,324,366.2,Colisão Traseira,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,2,0,0,0,0,1,1
Capim Grosso,324,368.5,Colisão Frontal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,5,1,3,0,3,1,0
Capim Grosso,324,3659,Colisão Frontal,Falta De Atenção,Reta,Simples,Anoitecer,Ceu Claro,2,2,1,0,0,0,1,0
Capim Grosso,407,134,Colisão Traseira,Defeito Mecânico Em Veículo,Reta,Simples,Plena Noite,Ceu Claro,2,2,0,0,0,0,1,1
Capim Grosso,407,208,Colisão Transversal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Capim Grosso,407,208.9,Colisão Lateral,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,4,1,2,2,0,1,0
Capim Grosso,407,209,Colisão Com Objeto Móvel,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,3,1,0,0,0,1,1
Capim Grosso,407,212,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Ceu Claro,2,2,0,1,1,0,1,0
Capim Grosso,407,212.4,Colisão Com Objeto Fixo,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Capim Grosso,407,217.9,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,0,0,0,1,1
Capim Grosso,407,219,Queda De Motocicleta / Bicicleta / Veículo,Outras,Reta,Simples,Plena Noite,Chuva,1,1,0,0,0,0,1,0
Capim Grosso,407,219,Queda De Ocupante De Veículo,Ingestão De Álcool,Reta,Simples,Anoitecer,Céu Claro,1,1,0,0,0,0,1,0
Capim Grosso,407,221,Colisão Frontal,Ingestão De Álcool,Reta,Simples,Plena Noite,Céu Claro,3,4,3,0,0,0,1,0
Capim Grosso,407,221,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Chuva,2,2,1,0,0,0,1,0
Capim Grosso,407,221.2,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,3,2,0,0,0,1,0
Capim Grosso,407,222,Colisão Frontal,Desobediência À Sinalização,Reta,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Capim Grosso,407,223,Colisão Traseira,Falta De Atenção,Reta,Simples,Plena Noite,Nublado,2,3,0,1,0,1,1,1
Capim Grosso,407,225,Capotamento,Outras,Reta,Simples,Pleno Dia,Ceu Claro,1,6,1,4,1,3,1,0
Capim Grosso,407,225,Saída De Leito Carroçável,Velocidade Incompatível,Reta,Simples,Pleno Dia,Céu Claro,1,4,1,2,1,1,1,0
Capim Grosso,407,226,Queda De Motocicleta / Bicicleta / Veículo,Velocidade Incompatível,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Capim Grosso,407,228,Colisão Traseira,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Capim Grosso,407,229,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,0,0,0,1,1
Capim Grosso,407,230,Colisão Frontal,Ingestão De Álcool,Curva,Simples,Plena Noite,Ceu Claro,2,3,0,0,0,0,1,2
Capim Grosso,407,231,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Capinzal Do Norte,135,249.4,Colisão Lateral,Ultrapassagem Indevida,Curva,Simples,Pleno Dia,Ceu Claro,3,4,1,1,1,0,1,1
Capinzal Do Norte,135,250,Colisão Com Bicicleta,Outras,Reta,Simples,Plena Noite,Chuva,2,2,0,0,0,0,1,1
Capinzal Do Norte,135,252,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,2,1,0,0,0,1,0
Capinzal Do Norte,135,262,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Nublado,2,2,0,1,0,1,1,0
Capinzal Do Norte,135,263,Saída De Pista,Ingestão De Álcool,Curva,Simples,Plena Noite,Sol,1,1,0,0,0,0,1,0
Capinzal Do Norte,135,267,Colisão Transversal,Falta De Atenção,Reta,Simples,Pleno Dia,Nublado,2,4,3,0,0,0,1,0
Capinzal Do Norte,135,268.8,Colisão Transversal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Capinzal Do Norte,135,276,Colisão Com Bicicleta,Ultrapassagem Indevida,Reta,Simples,Anoitecer,Ceu Claro,2,2,0,1,0,1,1,0
Capinzal Do Norte,135,2505,Colisão Frontal,Falta De Atenção À Condução,Reta,Simples,Pleno Dia,Céu Claro,2,2,0,1,1,0,1,0
Capinzal Do Norte,135,2516,Capotamento,Dormindo,Reta,Simples,Plena Noite,Nublado,1,1,0,0,0,0,1,0
Capinzal Do Norte,135,2545,Colisão Frontal,Falta De Atenção À Condução,Reta,Simples,Anoitecer,Céu Claro,2,3,2,0,0,0,1,0
Capinzal Do Norte,135,2729,Colisão Frontal,Condutor Dormindo,Reta,Simples,Pleno Dia,Céu Claro,2,5,3,0,0,0,1,1
Capitao De Campos,343,212,Colisão Com Bicicleta,Falta De Atenção,Reta,Simples,Anoitecer,Ceu Claro,2,2,1,0,0,0,1,0
Capitao De Campos,343,213.6,Colisão Com Bicicleta,Velocidade Incompatível,Reta,Simples,Plena Noite,Ignorada,2,2,1,0,0,0,1,0
Capitao De Campos,343,213.6,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Capitao De Campos,343,213.8,Colisão Com Bicicleta,Outras,Reta,Duplicada,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Capitao De Campos,343,214.2,Colisão Frontal,Outras,Reta,Simples,Anoitecer,Ceu Claro,2,2,1,0,0,0,1,0
Capitao De Campos,343,215,Colisão Com Objeto Fixo,Falta De Atenção,Reta,Simples,Plena Noite,Nublado,1,2,0,1,1,0,1,0
Capitao De Campos,343,216.5,Colisão Com Bicicleta,Falta De Atenção,Reta,Duplicada,Pleno Dia,Ceu Claro,3,3,1,0,0,0,1,1
Capitao De Campos,343,217,Colisão Lateral,Falta De Atenção,Reta,Duplicada,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Capitao De Campos,343,217.3,Queda De Motocicleta / Bicicleta / Veículo,Outras,Reta,Duplicada,Pleno Dia,Ceu Claro,1,2,1,0,0,0,1,0
Capitao De Campos,343,218.5,Colisão Com Bicicleta,Outras,Reta,Simples,Anoitecer,Ceu Claro,2,2,0,0,0,0,1,1
Capitao De Campos,343,218.5,Colisão Lateral,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,2,0,0,0,0,1,1
Capitao De Campos,343,219,Colisão Transversal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,3,0,1,1,0,1,1
Capitao De Campos,343,2116,Colisão Frontal,Ingestão De Álcool,Reta,Simples,Plena Noite,Nublado,2,2,1,0,0,0,1,0
Capitao De Campos,343,2197,Colisão Frontal,Outras,Reta,Simples,Amanhecer,Ceu Claro,2,2,0,1,0,1,1,0
Capitao Leonidas Marques,163,127.3,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,2,1,0,0,0,1,0
Capitao Leonidas Marques,163,129.5,Colisão Com Objeto Móvel,Outras,Reta,Simples,Plena Noite,Ignorada,1,2,0,1,0,1,1,0
Capitao Leonidas Marques,163,131.5,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Plena Noite,Nublado,3,3,2,0,0,0,1,0
Capitao Leonidas Marques,163,132,Colisão Frontal,Falta De Atenção,Reta,Simples,Plena Noite,Chuva,2,2,0,0,0,0,1,1
Capitao Leonidas Marques,163,134,Capotamento,Outras,Curva,Simples,Pleno Dia,Chuva,1,1,0,0,0,0,1,0
Capitao Leonidas Marques,163,134,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Ceu Claro,2,6,0,5,1,4,1,0
Capitao Leonidas Marques,163,135.2,Colisão Transversal,Outras,Curva,Simples,Pleno Dia,Sol,2,8,0,7,0,7,1,0
Capitao Leonidas Marques,163,136.1,Colisão Frontal,Outras,Curva,Simples,Pleno Dia,Sol,3,6,2,3,1,2,1,0
Capitao Leonidas Marques,163,136.6,Capotamento,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Capitao Leonidas Marques,163,138,Colisão Frontal,Defeito Mecânico Em Veículo,Curva,Simples,Pleno Dia,Nublado,2,4,0,3,2,1,1,0
Capitao Leonidas Marques,163,140.5,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Amanhecer,Sol,2,2,1,0,0,0,1,0
Capitao Leonidas Marques,163,140.8,Colisão Frontal,Ingestão De Álcool,Curva,Simples,Plena Noite,Ceu Claro,2,2,0,0,0,0,1,1
Capitao Leonidas Marques,163,142.1,Colisão Frontal,Desobediência À Sinalização,Reta,Simples,Pleno Dia,Ceu Claro,2,5,0,4,1,3,1,0
Capitao Leonidas Marques,163,142.7,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Capitao Leonidas Marques,163,143,Tombamento,Velocidade Incompatível,Curva,Simples,Pleno Dia,Céu Claro,1,2,0,1,1,0,1,0
Capitao Leonidas Marques,163,143.6,Colisão Transversal,Desobediência À Sinalização,Cruzamento,Simples,Pleno Dia,Sol,3,3,2,0,0,0,1,0
Capitao Leonidas Marques,163,144,Colisão Lateral,Ultrapassagem Indevida,Curva,Duplicada,Pleno Dia,Chuva,2,2,1,0,0,0,1,0
Capitao Leonidas Marques,163,144.9,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Amanhecer,Ceu Claro,2,3,2,0,0,0,1,0
Capitao Leonidas Marques,163,145.1,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Amanhecer,Ceu Claro,2,2,0,1,0,1,1,0
Capitao Leonidas Marques,163,145.6,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Pleno Dia,Sol,2,2,0,0,0,0,1,1
Capitao Leonidas Marques,163,147.5,Saída De Pista,Outras,Reta,Simples,Pleno Dia,Ceu Claro,1,3,0,2,2,0,1,0
Capitao Leonidas Marques,163,149,Saída De Pista,Falta De Atenção,Curva,Simples,Anoitecer,Ceu Claro,1,1,0,0,0,0,1,0
Capitao Leonidas Marques,163,1411,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Sol,3,3,1,0,0,0,1,1
Capitao Leonidas Marques,163,1435,Colisão Frontal,Desobediência À Sinalização,Curva,Simples,Amanhecer,Ceu Claro,3,14,6,7,5,2,1,0
Capitao Leonidas Marques,163,1475,Saída De Pista,Outras,Reta,Simples,Anoitecer,Ceu Claro,1,1,0,0,0,0,1,0
Capivari De Baixo,101,324.6,Colisão Com Objeto Fixo,Falta De Atenção,Reta,Simples,Plena Noite,Chuva,1,1,0,0,0,0,1,0
Capivari De Baixo,101,324.8,Colisão Com Objeto Fixo,Falta De Atenção,Reta,Simples,Plena Noite,Nublado,1,1,0,0,0,0,1,0
Capivari De Baixo,101,325,Atropelamento De Pessoa,Falta De Atenção,Reta,Duplicada,Plena Noite,Nublado,1,2,1,0,0,0,1,0
Capivari De Baixo,101,325,Colisão Com Bicicleta,Falta De Atenção,Reta,Duplicada,Pleno Dia,Sol,2,2,1,0,0,0,1,0
Capivari De Baixo,101,325.2,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Capivari De Baixo,101,326,Colisão Lateral,Falta De Atenção,Curva,Simples,Plena Noite,Ceu Claro,2,7,1,5,4,1,1,0
Capivari De Baixo,101,326.9,Atropelamento De Pessoa,Outras,Reta,Simples,Anoitecer,Chuva,2,3,1,0,0,0,1,1
Capivari De Baixo,101,326.9,Colisão Com Bicicleta,Falta De Atenção,Reta,Simples,Amanhecer,Nublado,2,2,1,0,0,0,1,0
Capivari De Baixo,101,327.7,Colisão Lateral,Ultrapassagem Indevida,Reta,Duplicada,Pleno Dia,Nublado,3,3,1,1,0,1,1,0
Capivari De Baixo,101,328,Colisão Traseira,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,3,0,1,1,0,1,1
Capivari De Baixo,101,328.3,Colisão Transversal,Falta De Atenção,Reta,Simples,Pleno Dia,Sol,2,3,1,1,0,1,1,0
Capivari De Baixo,101,328.3,Colisão Traseira,Outras,Reta,Duplicada,Plena Noite,Nublado,2,2,1,0,0,0,1,0
Capivari De Baixo,101,328.5,Colisão Com Objeto Fixo,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,1,0,1,1,0
Capivari De Baixo,101,328.8,Colisão Frontal,Velocidade Incompatível,Reta,Simples,Plena Noite,Ceu Claro,2,2,0,1,0,1,1,0
Capivari De Baixo,101,3284,Capotamento,Velocidade Incompatível,Reta,Duplicada,Plena Noite,Ceu Claro,1,3,0,2,1,1,1,0
Capivari De Baixo,101,3286,Colisão Com Bicicleta,Outras,Reta,Duplicada,Plena Noite,Chuva,3,3,2,0,0,0,1,0
Capixaba,317,125,Saída De Pista,Dormindo,Curva,Simples,Plena Noite,Ceu Claro,1,3,0,2,0,2,1,0
Capixaba,317,130,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,1,0,1,1,0
Capixaba,317,143,Saída De Pista,Outras,Curva,Simples,Pleno Dia,Sol,1,2,0,1,0,1,1,0
Capixaba,317,144,Colisão Com Bicicleta,Outras,Reta,Simples,Plena Noite,Nublado,4,6,2,2,1,1,1,1
Capixaba,317,149,Colisão Com Bicicleta,Falta De Atenção,Curva,Simples,Anoitecer,Ceu Claro,2,3,0,2,1,1,1,0
