municipio,br,km,tipo_acidente,causa_acidente,tracado_via,tipo_pista,fase_dia,condicao_metereologica,veiculos,pessoas,ilesos,feridos,feridos_graves,feridos_leves,mortos,ignorados
Palmeira,277,172.3,Colisão Frontal,Ingestão De Álcool,Curva,Simples,Plena Noite,Ceu Claro,2,3,0,1,1,0,2,0
Palmeira,277,186.9,Colisão Frontal,Dormindo,Reta,Simples,Plena Noite,Ceu Claro,2,4,0,2,2,0,2,0
Palmeira,277,189.9,Colisão Traseira,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,7,1,4,0,4,2,0
Palmeira,277,190.6,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Ignorada,3,6,0,4,0,4,2,0
Palmeira,277,201.3,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Pleno Dia,Chuva,2,5,1,2,2,0,2,0
Palmeira,277,1984,Tombamento,Condutor Dormindo,Reta,Simples,Plena Noite,Chuva,1,41,22,17,1,16,2,0
Palmeira,277,2059,Colisão Frontal,Outras,Curva,Simples,Pleno Dia,Sol,2,5,2,1,1,0,2,0
Palmeira,277,2059,Saída De Pista,Dormindo,Curva,Simples,Pleno Dia,Chuva,1,5,1,2,0,2,2,0
Palmeira,277,2073,Colisão Transversal,Falta De Atenção À Condução,Curva,Simples,Pleno Dia,Chuva,2,3,1,0,0,0,2,0
Palmeira,376,547.8,Colisão Transversal,Ingestão De Álcool,Reta,Duplicada,Plena Noite,Chuva,3,10,3,5,4,1,2,0
Palmeira Das Missoes,468,26.6,Colisão Transversal,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,3,0,1,1,0,2,0
Palmeira Dos Indios,316,147.5,Capotamento,Outras,Reta,Simples,Pleno Dia,Ceu Claro,1,4,0,2,0,2,2,0
Palmeira Dos Indios,316,148.9,Colisão Lateral,Falta De Atenção,Reta,Simples,Anoitecer,Ceu Claro,2,4,2,0,0,0,2,0
